titulo,localizacion,moneda,precio,superficie_total,superficie_cubierta,dormitorios,ambientes,expensas,pisos,disposicion,piso,departamentos_x_piso,cocheras,tipo_departamento,antiguedad,con_pileta
"Avenida 2 4234, Villa Gesell",Avenida 2 4234 Villa Gesell - Bs.as. Costa Atlántica,$,1.100, 300 m² ,50 m²,1,2,,,Contrafrente,,,1,Departamento,,
"Av Espora 2172, Valeria Del Mar",Av Espora 2172 Valeria Del Mar - Bs.as. Costa Atlántica,$,1.200, 525 m² ,250 m²,1,,,,,,,1,,,
"Ramon Franco 3875, Remedios De Escalada, Lanús",Ramon Franco 3875 Remedios De Escalada - Lanús - Bs.as. G.b.a. Sur,$,5.500, 25 m² ,25 m²,1,1,,,,,,,,,
"Avenida 2 4234, Villa Gesell",Avenida 2 4234 Villa Gesell - Bs.as. Costa Atlántica,$,1.500, 200 m² ,90 m²,2,3,,,,,,1,,,
"Saenz Peña Al 400, Vicente López",Saenz Peña Al 400 Vicente López - Bs.as. G.b.a. Norte,U$S,157.000, 43 m² ,43 m²,1,2,2500,,,,,,Departamento,0 años,
"Ruta 11 380, Costa Esmeralda",Ruta 11 380 Costa Esmeralda - Bs.as. Costa Atlántica,U$S,525.000, 1000 m² ,360 m²,5,5,,2,,,,3,,2 años,Si
"Avenida Arana Y Circunvalación Torre 14 Al 100, Villa Elisa, La Plata",Avenida Arana Y Circunvalación Torre 14 Al 100 Villa Elisa - La Plata - Bs.as. G.b.a. Sur,U$S,69.999, 75 m² ,75 m²,3,4,1400,,,,,1,Departamento,35 años,
"3 De Febrero 574, Martin, Rosario",3 De Febrero 574 Martin - Rosario - Santa Fe,$,12.000, 96 m² ,57 m²,1,,,,,,,1,,,
"Av Bunge 800, Centro, Pinamar",Av Bunge 800 Centro - Pinamar - Bs.as. Costa Atlántica,U$S,70.000, 45 m² ,45 m²,,,,4,Lateral,,,1,Departamento,30 años,
"Estancias Del Pilar,champagnat, Estancias Del Pilar, Pilar","Estancias Del Pilar,champagnat Estancias Del Pilar - Pilar - Bs.as. G.b.a. Norte",$,130.000, 820 m² ,190 m²,,5,,2,,,,,,,Si
"Av. Mitre 861, Quilmes",Av. Mitre 861 Quilmes - Bs.as. G.b.a. Sur,$,400.000, 55 m² ,51 m²,,,,,,,,,,,
"Libertad Al 100, El Cantón, Escobar",Libertad Al 100 El Cantón - Escobar - Bs.as. G.b.a. Norte,U$S,305.000, 921 m² ,35 m²,3,,,2,,,,2,,1 años,Si
"Ruta 118500, Punta Del Este, Maldonado",Ruta 118500 Punta Del Este - Maldonado - Uruguay,$,100, 76 m² ,76 m²,2,2,,,Frente,,,5,Departamento,0 años,Si
"Casa 84 - Club De Campo Los Troncos, Los Troncos, Pilar",Casa 84 - Club De Campo Los Troncos Los Troncos - Pilar - Bs.as. G.b.a. Norte,U$S,175.000,,,4,5,,2,,,,,,30 años,Si
"Cabello 3300 8° Entre Paunero Y Ruggieri, Palermo,",Cabello 3300 8° Entre Paunero Y Ruggieri Palermo - Capital Federal,U$S,900, 33 m² ,28 m²,,1,,,Contrafrente,,,,,,
"Bilbao Al 1300, Parque Chacabuco,",Bilbao Al 1300 Parque Chacabuco - Capital Federal,U$S,97.000, 34 m² ,34 m²,1,2,1900,8,Lateral,,,,,40 años,
"Antartida Argentina 1431, La Rotonda, San Isidro",Antartida Argentina 1431 La Rotonda - San Isidro - Bs.as. G.b.a. Norte,U$S,775.000, 720 m² ,375 m²,5,4,16000,2,,,,6,,20 años,
"Dean Funes 2001, San Marco, Tigre",Dean Funes 2001 San Marco - Tigre - Bs.as. G.b.a. Norte,U$S,338.000, 210 m² ,210 m²,3,5,6500,1,,,,1,,7 años,Si
